account,classification,trades,total_notional,avg_pnl,win_rate
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Fear,100,1507100.86,1247.69221441,0.37
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Greed,945,11415855.67,-42.62681048042328,0.06666666666666667
0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,1778,30262439.89,626.1943461839145,0.5264341957255343
0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,574,8686990.84,482.08932088327526,0.1602787456445993
0x083384f897ee0f19899168e3b1bec365f52a9012,Neutral,421,9824876.71,298.4563342992874,0.5819477434679335
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Fear,170,366532.65,-24.91266500588235,0.3
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Greed,825,1523508.3,43.22290295151516,0.576969696969697
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,2622,2573742.54,-0.6326227311212814,0.4782608695652174
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,2943,6487032.05,10.211823158681618,0.4016309887869521
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Neutral,720,1084672.12,-16.573722395833332,0.3611111111111111
0x271b280974205ca63b716753467d5a371de622ab,Extreme Fear,797,4886973.24,20.96221444416562,0.37641154328732745
0x271b280974205ca63b716753467d5a371de622ab,Extreme Greed,5,159708.30000000002,358.63204299999995,0.8
0x271b280974205ca63b716753467d5a371de622ab,Fear,1868,13491850.52,16.125219748394002,0.3822269807280514
0x271b280974205ca63b716753467d5a371de622ab,Greed,540,10486688.13,-185.22186365555558,0.24444444444444444
0x271b280974205ca63b716753467d5a371de622ab,Neutral,599,4848220.23,-31.78354016861436,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Fear,574,463208.61,-44.71430711498258,0.2874564459930314
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Greed,7481,3277267.08,14.437904109611015,0.4444592968854431
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Fear,1399,917809.07,9.59437087848463,0.4303073624017155
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,2970,1489279.85,10.50255621919192,0.4484848484848485
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Neutral,887,609457.49,6.207158245772266,0.46674182638105977
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Fear,112,277460.02999999997,101.92185524107143,0.6875
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Greed,1478,5039569.4,61.49868092692828,0.4878213802435724
0x2c229d22b100a7beb69122eed721cee9b24011dd,Fear,381,584523.86,10.444070267716535,0.4330708661417323
0x2c229d22b100a7beb69122eed721cee9b24011dd,Greed,253,1022433.76,79.35048596442688,0.541501976284585
0x2c229d22b100a7beb69122eed721cee9b24011dd,Neutral,1015,3242893.15,41.66782569064039,0.5753694581280788
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Fear,263,426110.77999999997,-216.6077025589354,0.11026615969581749
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Greed,161,449446.74,192.49802342236023,0.45962732919254656
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Fear,256,338174.45,-1.8244488125,0.6796875
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,102,156310.59,-34.62735278431372,0.7254901960784313
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Neutral,33,39859.44,-37.23960921212121,0.6060606060606061
0x39cef799f8b69da1995852eea189df24eb5cae3c,Extreme Fear,1668,6740754.44,-45.67115998381295,0.302158273381295
0x39cef799f8b69da1995852eea189df24eb5cae3c,Extreme Greed,115,546525.63,125.27291186956522,0.4956521739130435
0x39cef799f8b69da1995852eea189df24eb5cae3c,Fear,1471,6207226.96,37.175405240652616,0.3222297756628144
0x39cef799f8b69da1995852eea189df24eb5cae3c,Greed,63,733557.1,168.12317865079365,0.4444444444444444
0x39cef799f8b69da1995852eea189df24eb5cae3c,Neutral,272,2965311.29,40.26929397058824,0.41544117647058826
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Extreme Fear,19,64377.46000000001,5.818598105263158,1.0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Extreme Greed,206,554152.63,178.9813353932039,0.36893203883495146
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Fear,79,337546.24,53.88049758227849,0.620253164556962
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Greed,26,124084.75,163.0698608846154,0.5
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Neutral,2,63735.380000000005,4009.581548,0.5
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Extreme Fear,61,149251.29,155.09970963934427,0.04918032786885246
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Extreme Greed,108,347816.12,37.21869064814815,0.23148148148148148
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Fear,98,617413.63,1016.8191668265306,0.35714285714285715
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Greed,68,670213.14,177.69044117647059,0.029411764705882353
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Neutral,48,202833.43,1547.7846563541668,0.5208333333333334
0x430f09841d65beb3f27765503d0f850b8bce7713,Extreme Fear,79,440050.95,0.0,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,Extreme Greed,15,124285.34,8285.663251666667,1.0
0x430f09841d65beb3f27765503d0f850b8bce7713,Fear,237,601013.33,23.692202962025316,0.10126582278481013
0x430f09841d65beb3f27765503d0f850b8bce7713,Greed,772,1174862.15,294.922916753886,0.6373056994818653
0x430f09841d65beb3f27765503d0f850b8bce7713,Neutral,134,625897.45,440.0102964925373,0.5074626865671642
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Extreme Fear,391,224065.46,-37.15458444501279,0.26342710997442453
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Extreme Greed,3150,1707644.17,21.35744426634921,0.34285714285714286
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Fear,924,498888.4,10.821952627705627,0.37662337662337664
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Greed,3398,1667155.83,10.761178141259565,0.3507945850500294
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Neutral,656,311075.04,6.142136719512195,0.43902439024390244
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Extreme Fear,986,10441684.57,169.06328548275863,0.3093306288032454
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Extreme Greed,167,878585.38,122.73086336526946,0.3592814371257485
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Fear,1396,18227807.74,212.59435734813755,0.40902578796561606
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Greed,1135,6357516.12,84.9275622784141,0.5955947136563877
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Neutral,672,3667355.44,144.91084959970237,0.7529761904761905
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Fear,371,9319233.83,200.39500432884097,0.42857142857142855
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,2446,45776822.49,52.82816290269828,0.3336058871627146
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Fear,1156,17929601.08,-16.54511943252595,0.3555363321799308
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,2334,34783947.19,33.857528488860325,0.34361610968294776
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Neutral,1277,21862924.69,35.64160001644479,0.4267815191855912
0x513b8629fe877bb581bf244e326a047b249c4ff1,Extreme Fear,346,3336829.2199999997,-205.5543950982659,0.30346820809248554
0x513b8629fe877bb581bf244e326a047b249c4ff1,Extreme Greed,223,727332.09,0.0,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,Fear,5981,225087033.36,61.388767250292595,0.3705066042467815
0x513b8629fe877bb581bf244e326a047b249c4ff1,Greed,3169,121999299.14,51.450825164405174,0.376459450930893
0x513b8629fe877bb581bf244e326a047b249c4ff1,Neutral,2517,69726062.55,151.50198412793006,0.5542312276519666
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Extreme Fear,143,146503.36,14.24656372027972,0.3076923076923077
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Extreme Greed,171,106012.87,428.02384293567246,0.8947368421052632
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Fear,359,305149.83,5.683451412256267,0.2200557103064067
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Greed,241,132946.9,125.32531551037344,0.5062240663900415
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Neutral,61,37444.55,20.624933163934426,0.3770491803278688
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Extreme Fear,509,3177278.19,66.75834970530452,0.6129666011787819
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Extreme Greed,98,1811199.98,0.0,0.0
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Fear,311,1330382.25,-187.20177575884244,0.1607717041800643
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Greed,593,5049640.49,764.9162195210793,0.31703204047217537
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Neutral,79,106000.01,0.0,0.0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Extreme Fear,221,577683.5599999999,900.0025412217195,0.42081447963800905
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Extreme Greed,227,588648.11,2.526807436123348,0.004405286343612335
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Fear,431,631747.95,335.30010348027844,0.6450116009280742
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Greed,488,1023144.63,43.192043032786884,0.12295081967213115
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Neutral,57,141251.22,-79.41576261403509,0.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Fear,316,1079447.85,81.24315840189874,0.9145569620253164
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,3831,12164067.59,55.00570484703732,0.8546071521795876
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Fear,1664,3316716.23,29.66603104747596,0.7794471153846154
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,2618,6523818.28,36.64529953972498,0.807868601986249
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Neutral,1464,2645447.29,-1.7800249118852463,0.7151639344262295
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Extreme Fear,825,2847955.2800000003,3.9064510690909087,0.47393939393939394
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Extreme Greed,3,18780.48,420.2775286666667,0.3333333333333333
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Fear,544,2004454.72,7.420132939338235,0.46875
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Greed,83,329588.6,81.63002395180725,0.5301204819277109
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Neutral,104,643705.37,-3.798615173076924,0.1346153846153846
0x8170715b3b381dffb7062c0298972d4727a0a63b,Extreme Fear,159,816051.26,79.9590762955975,0.27672955974842767
0x8170715b3b381dffb7062c0298972d4727a0a63b,Extreme Greed,98,206332.51,-195.26442123469388,0.05102040816326531
0x8170715b3b381dffb7062c0298972d4727a0a63b,Fear,1745,4170375.08,86.7007065094556,0.2968481375358166
0x8170715b3b381dffb7062c0298972d4727a0a63b,Greed,1653,2908242.68,-217.8474883448276,0.5468844525105868
0x8170715b3b381dffb7062c0298972d4727a0a63b,Neutral,946,2042756.6,50.32818260465116,0.30655391120507397
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Extreme Fear,49,289506.08,-98.47951751020409,0.20408163265306123
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Extreme Greed,80,135211.26,0.14647095000000016,0.025
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Fear,55,100479.48,4.698460545454545,0.34545454545454546
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Greed,297,7343356.08,192.28589663299664,0.48148148148148145
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Neutral,1430,4130620.47,9.063013956643356,0.3195804195804196
0x8477e447846c758f5a675856001ea72298fd9cb5,Extreme Fear,539,738773.05,3.2918548905380334,0.2504638218923933
0x8477e447846c758f5a675856001ea72298fd9cb5,Extreme Greed,3986,3752401.08,14.067087569744103,0.3361766181635725
0x8477e447846c758f5a675856001ea72298fd9cb5,Fear,1474,1182485.92,6.309012583446404,0.32700135685210313
0x8477e447846c758f5a675856001ea72298fd9cb5,Greed,6804,4577661.86,-3.5327071028806585,0.19914756025867136
0x8477e447846c758f5a675856001ea72298fd9cb5,Neutral,2195,2053464.93,0.368265474715262,0.28109339407744877
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Extreme Fear,68,653351.5,50.38177867647059,0.4852941176470588
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Extreme Greed,1549,3665028.12,41.00727868495804,0.27953518398967075
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Fear,191,1513049.15,-3.254162617801047,0.0
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Greed,1199,4734259.0,50.253754429524605,0.3377814845704754
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Neutral,45,426667.97,0.0,0.0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Extreme Fear,270,162539.17,3.745403492592593,0.22592592592592592
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Extreme Greed,3497,5836132.71,13.666356243065485,0.4235058621675722
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Fear,2324,2722493.0,5.565606430722891,0.31841652323580033
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Greed,4115,4833683.86,8.529496366707168,0.33754556500607535
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Neutral,5399,6313359.24,1.7534768729394332,0.31950361177995923
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Extreme Fear,5,1460.13,-192.2097014,0.0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Extreme Greed,256,417993.96,181.2940121484375,0.51953125
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Fear,44,313640.08999999997,-379.9980389545455,0.06818181818181818
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Greed,108,128086.16,408.9797290462963,0.9537037037037037
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Neutral,4,629.06,-13.407838499999999,0.0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Extreme Fear,80,316665.65,7.780134875,0.075
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Extreme Greed,190,643594.44,110.13428011578948,0.5526315789473685
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Fear,123,293743.3,66.09220047967479,0.34959349593495936
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Greed,170,423422.33,224.51973447058822,0.4470588235294118
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Extreme Fear,17,38053.979999999996,0.0,0.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Extreme Greed,5,8647.35,3.048948,0.2
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Fear,455,3438057.09,31.96198447032967,0.3274725274725275
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Greed,5,9082.85,8.6401,0.4
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Neutral,52,954481.99,137.64776113461537,0.38461538461538464
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Fear,739,1240856.41,12.915975824086605,0.3112313937753721
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,1643,5161529.02,672.7357633444918,0.5100426049908704
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Fear,3005,4792042.53,31.003381483194676,0.3271214642262895
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,5889,36284991.08,90.68742338767193,0.27322125997622687
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Neutral,3457,9064146.19,116.08603838385883,0.3780734741105004
0xb899e522b5715391ae1d4f137653e7906c5e2115,Extreme Fear,1577,32610576.83,-21.06645961826252,0.33608116677235256
0xb899e522b5715391ae1d4f137653e7906c5e2115,Fear,2947,68691467.31,17.540671432304038,0.5110281642348151
0xb899e522b5715391ae1d4f137653e7906c5e2115,Neutral,314,7574996.96,12.796015694267515,0.27388535031847133
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Extreme Fear,4480,19924907.69,58.46383432857143,0.3794642857142857
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Fear,12437,40734967.95,49.92139389273941,0.4982712872879312
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Greed,5,356.17,0.9344916,0.2
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Neutral,4270,7376108.43,13.435311504918033,0.47096018735363
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Extreme Fear,387,3876163.91,97.44838090180878,0.25064599483204136
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Extreme Greed,310,893183.5,19.526324419354832,0.08387096774193549
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Fear,1181,10712789.22,200.50612001439458,0.4987298899237934
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Greed,350,839231.03,86.45201101428572,0.24285714285714285
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Neutral,413,4416024.05,-218.6502511331719,0.16464891041162227
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Extreme Fear,5079,7342854.15,6.059084884426068,0.41327032880488285
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Extreme Greed,6723,16527882.25,71.21991197159007,0.5963111706083594
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Fear,12901,19395677.62,4.33910526005736,0.37655995659251223
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Greed,7338,17601612.08,33.16973468792587,0.4647042790951213
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Neutral,8143,13239784.34,3.3300605015350606,0.34778337222154
